Sektion,Verwendungszweck,Empfohlene Anzahl der Wörter,Beispiel
1. Startseite / Hero-Bereich,Haupt-Headline (Positionierung in einem Satz),5–10,Exklusive Hochzeitsplanung für Süddeutschland
1. Startseite / Hero-Bereich,Subheadline (Unterstützende Aussage / Nutzenversprechen),10–20,sowie an ausgewählten Destinationen wie Italien Österreich & der Schweiz
1. Startseite / Hero-Bereich,3 Bullet Points (USP / Positionierung),je 5–12,Premium-Preise ohne Diskussion
2. Über mich / Über uns,Einleitungstext Warum du das machst was du machst,50–80,
2. Über mich / Über uns,Persönliche Geschichte / Werdegang,150–250,
2. Über mich / Über uns,Werte & Philosophie,50–100,
2. Über mich / Über uns,Teamvorstellung (Kurztexte zu Teammitgliedern),je 30–50,
3. Leistungen / Angebote,Einleitungstext zu den Leistungsboxen,40–70,Als Hochzeitsplanerin mit Sinn für Ästhetik begleite ich euch
3. Leistungen / Angebote,Einzelne Leistungsbox (Titel + Kurzbeschreibung),20–40,Komplettplanung - Von der ersten Idee bis zum letzten Tanz
3. Leistungen / Angebote,Ausführliche Leistungsbeschreibung (Detailseite),200–400,
3. Leistungen / Angebote,PAS (Problem / Agitation / Solution) zu einer konkreten Leistung,100–200,Niemand hat dir beigebracht wie man als Selbstständiger Kunden gewinnt
3. Leistungen / Angebote,Paketbeschreibung (Leistungspakete / Preisstruktur),50–120,
4. Portfolio / Referenzen,Einleitungstext Portfolio,40–80,
4. Portfolio / Referenzen,Beschreibung eines Portfolio-Projekts (Shooting oder Wedding),80–150,
6. Kontakt,Einleitungstext So kannst du mich erreichen,20–40,
6. Kontakt,Kontakt-Call-to-Action (z. B. Jetzt Termin vereinbaren),5–12,
6. Kontakt,Wie geht es nach einer Anfrage weiter,50–100,
7. SEO-Elemente,Meta-Titel (SEO Title),max. 60 Zeichen,
7. SEO-Elemente,Meta-Beschreibung,max. 160 Zeichen,
8. Sonstige Inhaltsbereiche,FAQ-Fragen & Antworten,30–80 pro Antwort,
